"id","slug","title","difficulty","content"
"11","container-with-most-water","Container With Most Water","Nan","You are given an integer array `height` of length `n`. There are `n` vertical lines drawn such that the two endpoints of the `ith` line are `(i, 0)` and `(i, height[i])`._x000D_
_x000D_
Find two lines that together with the x-axis form a container, such that the container contains the most water._x000D_
_x000D_
Return _the maximum amount of water a container can store_._x000D_
_x000D_
**Notice** that you may not slant the container._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** height = \[1,8,6,2,5,4,8,3,7\]_x000D_
**Output:** 49_x000D_
**Explanation:** The above vertical lines are represented by array \[1,8,6,2,5,4,8,3,7\]. In this case, the max area of water (blue section) the container can contain is 49._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** height = \[1,1\]_x000D_
**Output:** 1_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `n == height.length`_x000D_
*   `2 <= n <= 105`_x000D_
*   `0 <= height[i] <= 104`"
"12","integer-to-roman","Integer to Roman","Medium","Roman numerals are represented by seven different symbols: `I`, `V`, `X`, `L`, `C`, `D` and `M`._x000D_
_x000D_
**Symbol**       **Value**_x000D_
I             1_x000D_
V             5_x000D_
X             10_x000D_
L             50_x000D_
C             100_x000D_
D             500_x000D_
M             1000_x000D_
_x000D_
For example, `2` is written as `II` in Roman numeral, just two one's added together. `12` is written as `XII`, which is simply `X + II`. The number `27` is written as `XXVII`, which is `XX + V + II`._x000D_
_x000D_
Roman numerals are usually written largest to smallest from left to right. However, the numeral for four is not `IIII`. Instead, the number four is written as `IV`. Because the one is before the five we subtract it making four. The same principle applies to the number nine, which is written as `IX`. There are six instances where subtraction is used:_x000D_
_x000D_
*   `I` can be placed before `V` (5) and `X` (10) to make 4 and 9._x000D_
*   `X` can be placed before `L` (50) and `C` (100) to make 40 and 90._x000D_
*   `C` can be placed before `D` (500) and `M` (1000) to make 400 and 900._x000D_
_x000D_
Given an integer, convert it to a roman numeral._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** num = 3_x000D_
**Output:**  ""III ""_x000D_
**Explanation:** 3 is represented as 3 ones._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** num = 58_x000D_
**Output:**  ""LVIII ""_x000D_
**Explanation:** L = 50, V = 5, III = 3._x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** num = 1994_x000D_
**Output:**  ""MCMXCIV ""_x000D_
**Explanation:** M = 1000, CM = 900, XC = 90 and IV = 4._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= num <= 3999`"
"13","roman-to-integer","Roman to Integer","Easy","Roman numerals are represented by seven different symbols: `I`, `V`, `X`, `L`, `C`, `D` and `M`._x000D_
_x000D_
**Symbol**       **Value**_x000D_
I             1_x000D_
V             5_x000D_
X             10_x000D_
L             50_x000D_
C             100_x000D_
D             500_x000D_
M             1000_x000D_
_x000D_
For example, `2` is written as `II` in Roman numeral, just two ones added together. `12` is written as `XII`, which is simply `X + II`. The number `27` is written as `XXVII`, which is `XX + V + II`._x000D_
_x000D_
Roman numerals are usually written largest to smallest from left to right. However, the numeral for four is not `IIII`. Instead, the number four is written as `IV`. Because the one is before the five we subtract it making four. The same principle applies to the number nine, which is written as `IX`. There are six instances where subtraction is used:_x000D_
_x000D_
*   `I` can be placed before `V` (5) and `X` (10) to make 4 and 9._x000D_
*   `X` can be placed before `L` (50) and `C` (100) to make 40 and 90._x000D_
*   `C` can be placed before `D` (500) and `M` (1000) to make 400 and 900._x000D_
_x000D_
Given a roman numeral, convert it to an integer._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** s =  ""III ""_x000D_
**Output:** 3_x000D_
**Explanation:** III = 3._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** s =  ""LVIII ""_x000D_
**Output:** 58_x000D_
**Explanation:** L = 50, V= 5, III = 3._x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** s =  ""MCMXCIV ""_x000D_
**Output:** 1994_x000D_
**Explanation:** M = 1000, CM = 900, XC = 90 and IV = 4._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= s.length <= 15`_x000D_
*   `s` contains only the characters `('I', 'V', 'X', 'L', 'C', 'D', 'M')`._x000D_
*   It is **guaranteed** that `s` is a valid roman numeral in the range `[1, 3999]`."
"14","longest-common-prefix","Longest Common Prefix","Easy","Write a function to find the longest common prefix string amongst an array of strings._x000D_
_x000D_
If there is no common prefix, return an empty string `"" ""`._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** strs = \[ ""flower "", ""flow "", ""flight ""\]_x000D_
**Output:**  ""fl ""_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** strs = \[ ""dog "", ""racecar "", ""car ""\]_x000D_
**Output:**  "" ""_x000D_
**Explanation:** There is no common prefix among the input strings._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= strs.length <= 200`_x000D_
*   `0 <= strs[i].length <= 200`_x000D_
*   `strs[i]` consists of only lowercase English letters."
"15","3sum","3Sum","Medium","Given an integer array nums, return all the triplets `[nums[i], nums[j], nums[k]]` such that `i != j`, `i != k`, and `j != k`, and `nums[i] + nums[j] + nums[k] == 0`._x000D_
_x000D_
Notice that the solution set must not contain duplicate triplets._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** nums = \[-1,0,1,2,-1,-4\]_x000D_
**Output:** \[\[-1,-1,2\],\[-1,0,1\]\]_x000D_
**Explanation:** _x000D_
nums\[0\] + nums\[1\] + nums\[2\] = (-1) + 0 + 1 = 0._x000D_
nums\[1\] + nums\[2\] + nums\[4\] = 0 + 1 + (-1) = 0._x000D_
nums\[0\] + nums\[3\] + nums\[4\] = (-1) + 2 + (-1) = 0._x000D_
The distinct triplets are \[-1,0,1\] and \[-1,-1,2\]._x000D_
Notice that the order of the output and the order of the triplets does not matter._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** nums = \[0,1,1\]_x000D_
**Output:** \[\]_x000D_
**Explanation:** The only possible triplet does not sum up to 0._x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** nums = \[0,0,0\]_x000D_
**Output:** \[\[0,0,0\]\]_x000D_
**Explanation:** The only possible triplet sums up to 0._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `3 <= nums.length <= 3000`_x000D_
*   `-105 <= nums[i] <= 105`"
"16","3sum-closest","3Sum Closest","Medium","Given an integer array `nums` of length `n` and an integer `target`, find three integers in `nums` such that the sum is closest to `target`._x000D_
_x000D_
Return _the sum of the three integers_._x000D_
_x000D_
You may assume that each input would have exactly one solution._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** nums = \[-1,2,1,-4\], target = 1_x000D_
**Output:** 2_x000D_
**Explanation:** The sum that is closest to the target is 2. (-1 + 2 + 1 = 2)._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** nums = \[0,0,0\], target = 1_x000D_
**Output:** 0_x000D_
**Explanation:** The sum that is closest to the target is 0. (0 + 0 + 0 = 0)._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `3 <= nums.length <= 500`_x000D_
*   `-1000 <= nums[i] <= 1000`_x000D_
*   `-104 <= target <= 104`"
"17","letter-combinations-of-a-phone-number","Letter Combinations of a Phone Number","Medium","Given a string containing digits from `2-9` inclusive, return all possible letter combinations that the number could represent. Return the answer in **any order**._x000D_
_x000D_
A mapping of digits to letters (just like on the telephone buttons) is given below. Note that 1 does not map to any letters._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** digits =  ""23 ""_x000D_
**Output:** \[ ""ad "", ""ae "", ""af "", ""bd "", ""be "", ""bf "", ""cd "", ""ce "", ""cf ""\]_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** digits =  "" ""_x000D_
**Output:** \[\]_x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** digits =  ""2 ""_x000D_
**Output:** \[ ""a "", ""b "", ""c ""\]_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `0 <= digits.length <= 4`_x000D_
*   `digits[i]` is a digit in the range `['2', '9']`."
"18","4sum","4Sum","Medium","Given an array `nums` of `n` integers, return _an array of all the **unique** quadruplets_ `[nums[a], nums[b], nums[c], nums[d]]` such that:_x000D_
_x000D_
*   `0 <= a, b, c, d < n`_x000D_
*   `a`, `b`, `c`, and `d` are **distinct**._x000D_
*   `nums[a] + nums[b] + nums[c] + nums[d] == target`_x000D_
_x000D_
You may return the answer in **any order**._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** nums = \[1,0,-1,0,-2,2\], target = 0_x000D_
**Output:** \[\[-2,-1,1,2\],\[-2,0,0,2\],\[-1,0,0,1\]\]_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** nums = \[2,2,2,2,2\], target = 8_x000D_
**Output:** \[\[2,2,2,2\]\]_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= nums.length <= 200`_x000D_
*   `-109 <= nums[i] <= 109`_x000D_
*   `-109 <= target <= 109`"
"19","remove-nth-node-from-end-of-list","Remove Nth Node From End of List","Medium","Given the `head` of a linked list, remove the `nth` node from the end of the list and return its head._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** head = \[1,2,3,4,5\], n = 2_x000D_
**Output:** \[1,2,3,5\]_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** head = \[1\], n = 1_x000D_
**Output:** \[\]_x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** head = \[1,2\], n = 1_x000D_
**Output:** \[1\]_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   The number of nodes in the list is `sz`._x000D_
*   `1 <= sz <= 30`_x000D_
*   `0 <= Node.val <= 100`_x000D_
*   `1 <= n <= sz`_x000D_
_x000D_
**Follow up:** Could you do this in one pass?"
"20","valid-parentheses","Valid Parentheses","Easy","Given a string `s` containing just the characters `'('`, `')'`, `'{'`, `'}'`, `'['` and `']'`, determine if the input string is valid._x000D_
_x000D_
An input string is valid if:_x000D_
_x000D_
1.  Open brackets must be closed by the same type of brackets._x000D_
2.  Open brackets must be closed in the correct order._x000D_
3.  Every close bracket has a corresponding open bracket of the same type._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** s =  ""() ""_x000D_
**Output:** true_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** s =  ""()\[\]{} ""_x000D_
**Output:** true_x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** s =  ""(\] ""_x000D_
**Output:** false_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= s.length <= 104`_x000D_
*   `s` consists of parentheses only `'()[]{}'`."
"21","merge-two-sorted-lists","Merge Two Sorted Lists","Easy","You are given the heads of two sorted linked lists `list1` and `list2`._x000D_
_x000D_
Merge the two lists in a one **sorted** list. The list should be made by splicing together the nodes of the first two lists._x000D_
_x000D_
Return _the head of the merged linked list_._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** list1 = \[1,2,4\], list2 = \[1,3,4\]_x000D_
**Output:** \[1,1,2,3,4,4\]_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** list1 = \[\], list2 = \[\]_x000D_
**Output:** \[\]_x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** list1 = \[\], list2 = \[0\]_x000D_
**Output:** \[0\]_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   The number of nodes in both lists is in the range `[0, 50]`._x000D_
*   `-100 <= Node.val <= 100`_x000D_
*   Both `list1` and `list2` are sorted in **non-decreasing** order."
"22","generate-parentheses","Generate Parentheses","Medium","Given `n` pairs of parentheses, write a function to _generate all combinations of well-formed parentheses_._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** n = 3_x000D_
**Output:** \[""((()))"",""(()())"",""(())()"",""()(())"",""()()()""\]_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** n = 1_x000D_
**Output:** \[""()""\]_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= n <= 8`"
"23","merge-k-sorted-lists","Merge k Sorted Lists","Hard","You are given an array of `k` linked-lists `lists`, each linked-list is sorted in ascending order._x000D_
_x000D_
_Merge all the linked-lists into one sorted linked-list and return it.__x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** lists = \[\[1,4,5\],\[1,3,4\],\[2,6\]\]_x000D_
**Output:** \[1,1,2,3,4,4,5,6\]_x000D_
**Explanation:** The linked-lists are:_x000D_
\[_x000D_
  1->4->5,_x000D_
  1->3->4,_x000D_
  2->6_x000D_
\]_x000D_
merging them into one sorted list:_x000D_
1->1->2->3->4->4->5->6_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** lists = \[\]_x000D_
**Output:** \[\]_x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** lists = \[\[\]\]_x000D_
**Output:** \[\]_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `k == lists.length`_x000D_
*   `0 <= k <= 104`_x000D_
*   `0 <= lists[i].length <= 500`_x000D_
*   `-104 <= lists[i][j] <= 104`_x000D_
*   `lists[i]` is sorted in **ascending order**._x000D_
*   The sum of `lists[i].length` will not exceed `104`."
"24","swap-nodes-in-pairs","Swap Nodes in Pairs","Medium","Given a linked list, swap every two adjacent nodes and return its head. You must solve the problem without modifying the values in the list's nodes (i.e., only nodes themselves may be changed.)_x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** head = \[1,2,3,4\]_x000D_
**Output:** \[2,1,4,3\]_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** head = \[\]_x000D_
**Output:** \[\]_x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** head = \[1\]_x000D_
**Output:** \[1\]_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   The number of nodes in the list is in the range `[0, 100]`._x000D_
*   `0 <= Node.val <= 100`"
"25","reverse-nodes-in-k-group","Reverse Nodes in k-Group","Hard","Given the `head` of a linked list, reverse the nodes of the list `k` at a time, and return _the modified list_._x000D_
_x000D_
`k` is a positive integer and is less than or equal to the length of the linked list. If the number of nodes is not a multiple of `k` then left-out nodes, in the end, should remain as it is._x000D_
_x000D_
You may not alter the values in the list's nodes, only nodes themselves may be changed._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** head = \[1,2,3,4,5\], k = 2_x000D_
**Output:** \[2,1,4,3,5\]_x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** head = \[1,2,3,4,5\], k = 3_x000D_
**Output:** \[3,2,1,4,5\]_x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   The number of nodes in the list is `n`._x000D_
*   `1 <= k <= n <= 5000`_x000D_
*   `0 <= Node.val <= 1000`_x000D_
_x000D_
**Follow-up:** Can you solve the problem in `O(1)` extra memory space?"
